c,classifier,configuration_id,fold_macro_f1,high_impact_f1,high_impact_precision,high_impact_recall,legacy_reproduction_guard,mean_accuracy,mean_balanced_accuracy,mean_feature_count,mean_macro_f1,mean_weighted_f1,min_fold_macro_f1,rank,representation_id,stage,std_macro_f1,task,text_view
2.0,LOGREG,S2-C2,0.6257286865|0.6366332875|0.6373470112,0.4078685961572734,0.33760902725367375,0.5165032417490936,PASS,0.7718970482076711,0.6670655739286953,300000.0,0.6332363283818442,0.7900547768813714,0.6257286865092199,1,S2-R1,A2.1,0.005316694791227985,S2,SUMMARY_DESCRIPTION
1.0,LOGREG,S2-C1,0.6219786298|0.6370215944|0.6382546653,0.4160297343045521,0.33087834682693346,0.5617812177330005,PASS,0.7600268648894031,0.6786306961437157,300000.0,0.6324182965177007,0.7829917483378184,0.6219786298366173,2,S2-R1,A2.1,0.007399103379567761,S2,SUMMARY_DESCRIPTION
4.0,LOGREG,S2-C4,0.6257927436|0.6303165363|0.6345564757,0.39470002008394117,0.34023637080363384,0.47119007299956106,PASS,0.7803666229410551,0.6534827599008531,300000.0,0.6302219185608574,0.7941049494421106,0.6257927436171102,3,S2-R1,A2.1,0.0035784041640913346,S2,SUMMARY_DESCRIPTION
0.5,LOGREG,S2-C0.5,0.6156518244|0.6349279375|0.6371017295,0.4207790754335195,0.32323798792424585,0.604366924466325,PASS,0.7467027199380013,0.6882315016998833,300000.0,0.629227163822729,0.7742805997840634,0.6156518244270467,4,S2-R1,A2.1,0.009640149470197892,S2,SUMMARY_DESCRIPTION
0.25,LOGREG,S2-C0.25,0.6086045929|0.6281185530|0.6297975386,0.4186670083682708,0.3130272216902987,0.6336111420850062,PASS,0.732114288633292,0.691614175684153,300000.0,0.6221735615285454,0.7637986046138042,0.6086045929497733,5,S2-R1,A2.1,0.009619162452344905,S2,SUMMARY_DESCRIPTION
2.0,LOGREG,S3-C2,0.4512032731|0.4705153647|0.4732313454,,,,,0.6338851133166569,0.5092180893607184,150000.0,0.4649833277368878,0.6604333683135692,0.4512032731029109,1,S3-R1,A2.1,0.009806853623963697,S3,SUMMARY_DESCRIPTION
4.0,LOGREG,S3-C4,0.4485811269|0.4698856901|0.4726034189,,,,,0.6522483579544899,0.49393511503485915,150000.0,0.4636900786480768,0.6719460446922532,0.4485811269057855,2,S3-R1,A2.1,0.010741099556820973,S3,SUMMARY_DESCRIPTION
1.0,LOGREG,S3-C1,0.4476406939|0.4686724109|0.4693533624,,,,,0.6065042606945181,0.5265772232668113,150000.0,0.4618888223809065,0.6408810654620586,0.44764069385814925,3,S3-R1,A2.1,0.010078782947719382,S3,SUMMARY_DESCRIPTION
0.5,LOGREG,S3-C0.5,0.4391505916|0.4627217375|0.4594063477,,,,,0.5751601387593346,0.5413681043436628,150000.0,0.4537595589110468,0.6161122059764194,0.4391505915727845,4,S3-R1,A2.1,0.010418393909239586,S3,SUMMARY_DESCRIPTION
0.25,LOGREG,S3-C0.25,0.4297508392|0.4467995159|0.4503514796,,,,,0.542648881842728,0.5523284154479717,150000.0,0.4423006115610919,0.5881321877665423,0.4297508391922082,5,S3-R1,A2.1,0.008991725877844371,S3,SUMMARY_DESCRIPTION
0.25,LINEARSVC,S6-C0.25,0.2478590019|0.2722654904|0.2870007594,,,,,0.6759840391154782,0.2864064096737675,150000.0,0.26904175056567076,0.6741686035068429,0.24785900186572962,1,S6-R1,A2.1,0.01614132729667614,S6,SUMMARY_DESCRIPTION
0.5,LINEARSVC,S6-C0.5,0.2460520476|0.2672321137|0.2815433479,,,,,0.6639007550806307,0.27888337946100816,150000.0,0.264942503078344,0.6670930224744142,0.24605204759389612,2,S6-R1,A2.1,0.014579433857686957,S6,SUMMARY_DESCRIPTION
1.0,LINEARSVC,S6-C1,0.2440066780|0.2612991552|0.2735879885,,,,,0.6548079539904359,0.2702666436261767,150000.0,0.25963127388862683,0.6609519121844327,0.2440066779602653,3,S6-R1,A2.1,0.012133970332437525,S6,SUMMARY_DESCRIPTION
2.0,LINEARSVC,S6-C2,0.2381012663|0.2552534326|0.2663279185,,,,,0.6475887757454605,0.26070665196298687,150000.0,0.25322753914811996,0.6554146583970958,0.23810126626369263,4,S6-R1,A2.1,0.01161218205312638,S6,SUMMARY_DESCRIPTION
4.0,LINEARSVC,S6-C4,0.2340940150|0.2485680745|0.2590117248,,,,,0.6411411477314463,0.2523893726937894,150000.0,0.24722460478978817,0.6501642141531033,0.23409401498337912,5,S6-R1,A2.1,0.010216873281028974,S6,SUMMARY_DESCRIPTION
