c,classifier,configuration_id,fold_macro_f1,high_impact_f1,high_impact_precision,high_impact_recall,legacy_reproduction_guard,mean_accuracy,mean_balanced_accuracy,mean_feature_count,mean_macro_f1,mean_weighted_f1,min_fold_macro_f1,rank,representation_id,stage,std_macro_f1,task,text_view
2.0,LOGREG,S2-R3,0.6296928131|0.6393370920|0.6429794165,0.4110752002203071,0.34596341032804684,0.5079322329870218,PASS,0.7786799403586299,0.6675433297960732,500000.0,0.6373364404952657,0.7947786870720527,0.6296928130633986,1,S2-R3,A2.2,0.005605676421814828,S2,SUMMARY_DESCRIPTION
2.0,LOGREG,S2-R2,0.6286711551|0.6387684803|0.6409817878,0.41042279344472393,0.3432218408472197,0.5118452760947796,PASS,0.7763434716306058,0.6677716689708548,400000.0,0.6361404744176173,0.7932045036024884,0.6286711551328739,2,S2-R2,A2.2,0.005358341189796943,S2,SUMMARY_DESCRIPTION
2.0,LOGREG,S2-R6,0.6266534859|0.6375067217|0.6385752170,0.4081521992231087,0.33999295561728465,0.5119524707384017,PASS,0.774179583729135,0.6665459447366388,400000.0,0.6342451415382391,0.7915670199185866,0.6266534859116698,3,S2-R6,A2.2,0.005385805226556244,S2,SUMMARY_DESCRIPTION
2.0,LOGREG,S2-R1,0.6257286865|0.6366332875|0.6373470112,0.4078685961572734,0.33760902725367375,0.5165032417490936,PASS,0.7718970482076711,0.6670655739286953,300000.0,0.6332363283818442,0.7900547768813714,0.6257286865092199,4,S2-R1,A2.2,0.005316694791227985,S2,SUMMARY_DESCRIPTION
2.0,LOGREG,S2-R5,0.6243000291|0.6344381699|0.6375793092,0.4068948089418099,0.33537517704470393,0.5185171835759153,PASS,0.7701396164172404,0.6668598314509504,300000.0,0.6321058360358703,0.7888136407849039,0.6243000290521543,5,S2-R5,A2.2,0.005666548389006396,S2,SUMMARY_DESCRIPTION
2.0,LOGREG,S2-R4,0.6245284809|0.6339507698|0.6353546474,0.4057432501011366,0.33412018537587646,0.5177678614978928,PASS,0.7693876797906478,0.666115258026734,300000.0,0.6312779660544406,0.7882096641383424,0.6245284809299989,6,S2-R4,A2.2,0.004806896446701892,S2,SUMMARY_DESCRIPTION
2.0,LOGREG,S3-R5,0.4524632595|0.4766878306|0.4795317352,,,,,0.6440511490959678,0.509896455459812,250000.0,0.4695609417675785,0.6677460345130403,0.45246325949229327,1,S3-R5,A2.2,0.012145506788029026,S3,SUMMARY_DESCRIPTION
2.0,LOGREG,S3-R6,0.4512931415|0.4733981822|0.4751659011,,,,,0.6415640714622448,0.5068544254517339,250000.0,0.4666190749439849,0.6655911016858015,0.45129314152084604,2,S3-R6,A2.2,0.010861073734994316,S3,SUMMARY_DESCRIPTION
2.0,LOGREG,S3-R4,0.4519437652|0.4713437601|0.4737474341,,,,,0.6349429937690343,0.5097684197858422,149931.0,0.4656783198203213,0.6612157453536549,0.45194376524011876,3,S3-R4,A2.2,0.0097612466499298,S3,SUMMARY_DESCRIPTION
2.0,LOGREG,S3-R1,0.4512032731|0.4705153647|0.4732313454,,,,,0.6338851133166569,0.5092180893607184,150000.0,0.4649833277368878,0.6604333683135692,0.4512032731029109,4,S3-R1,A2.2,0.009806853623963697,S3,SUMMARY_DESCRIPTION
2.0,LOGREG,S3-R3,0.4482310532|0.4651294904|0.4663634939,,,,,0.6231156650007174,0.5090364328315252,150000.0,0.45990801247167173,0.6523590956801647,0.4482310531731008,5,S3-R3,A2.2,0.008272211514734534,S3,SUMMARY_DESCRIPTION
2.0,LOGREG,S3-R2,0.4315689811|0.4427169554|0.4502709686,,,,,0.566334232876141,0.522951589236257,93223.33333333333,0.44151896837237486,0.6091964534933866,0.431568981104043,6,S3-R2,A2.2,0.007681903577968643,S3,SUMMARY_DESCRIPTION
0.25,LINEARSVC,S6-R3,0.2488606279|0.2729524535|0.2894635448,,,,,0.6752523836151939,0.28893317587321304,150000.0,0.27042554206817904,0.6740098841771722,0.24886062791511598,1,S6-R3,A2.2,0.01667209597558349,S6,SUMMARY_DESCRIPTION
0.25,LINEARSVC,S6-R6,0.2485086131|0.2708978420|0.2909400425,,,,,0.679005881226971,0.28579262156779284,250000.0,0.2701154991825157,0.6752544565855262,0.24850861307884384,2,S6-R6,A2.2,0.017331389555531155,S6,SUMMARY_DESCRIPTION
0.25,LINEARSVC,S6-R2,0.2500772814|0.2699432635|0.2895797548,,,,,0.6712220555732156,0.2905628593281762,150000.0,0.26986676655972536,0.6716078912399638,0.2500772813881048,3,S6-R2,A2.2,0.016126907946995863,S6,SUMMARY_DESCRIPTION
0.25,LINEARSVC,S6-R5,0.2464597121|0.2725268643|0.2886185694,,,,,0.6827603165100068,0.28254347390706164,250000.0,0.26920171527966047,0.677191337429257,0.2464597120901955,4,S6-R5,A2.2,0.01737114034755978,S6,SUMMARY_DESCRIPTION
0.25,LINEARSVC,S6-R1,0.2478590019|0.2722654904|0.2870007594,,,,,0.6759840391154782,0.2864064096737675,150000.0,0.26904175056567076,0.6741686035068429,0.24785900186572962,5,S6-R1,A2.2,0.01614132729667614,S6,SUMMARY_DESCRIPTION
0.25,LINEARSVC,S6-R4,0.2476341479|0.2719770644|0.2872136082,,,,,0.6761436359889622,0.28618276879972976,150000.0,0.26894160684663376,0.6741789075869589,0.24763414792365937,6,S6-R4,A2.2,0.016300182426939574,S6,SUMMARY_DESCRIPTION
